Race/Ethnicity,Sex,Department,Age,Hourly Rate,Regular/Temporary,Employee Status
Black or African American,M,Seattle Center,66,121.489,R,A
Black or African American,M,Parks & Recreation,43,31.35,R,A
Black or African American,M,Seattle Public Utilities,62,45.86,R,A
Black or African American,M,Seattle Public Utilities,43,41.68,R,A
Black or African American,F,Seattle City Light,38,34.15,R,A
Black or African American,F,Legislative Department,46,46.9349,R,A
Black or African American,M,Police Department,31,53.5,R,A
Black or African American,M,Police Department,54,41.06,R,A
Black or African American,M,Seattle City Light,50,42.44,R,A
Black or African American,M,Seattle Dept of Transportation,60,38.6,R,A
Black or African American,M,Fire Department,49,61.39,R,A
Black or African American,M,Parks & Recreation,38,18.69,T,A
Black or African American,F,Human Services Department,38,47.34,R,A
Black or African American,M,Parks & Recreation,50,18.69,T,A
Black or African American,F,Human Services Department,40,48.31,R,A
Black or African American,M,Police Department,33,54.29,R,A
Black or African American,M,Seattle City Light,46,74.5,R,A
Black or African American,F,Parks & Recreation,65,53.51,T,A
Black or African American,F,Human Services Department,57,26.99,T,A
Black or African American,M,Seattle Public Utilities,56,87.7,R,A
Black or African American,F,Seattle Public Utilities,48,39.59,R,A
Black or African American,M,Seattle City Light,55,30.09,R,A
Black or African American,M,Seattle Public Utilities,44,35.44,R,A
Black or African American,F,Seattle Public Library,56,27.14,R,L
Black or African American,F,Seattle Public Library,25,21.89,R,A
Black or African American,M,Neighborhoods,41,46.68,R,A
Black or African American,M,Parks & Recreation,24,19.09,T,A
Black or African American,F,Municipal Court,57,34.22,R,A
Black or African American,M,Seattle Dept of Transportation,35,60.16,R,A
Black or African American,M,Parks & Recreation,51,41.18,R,A
Black or African American,F,Seattle Public Utilities,63,40.86,R,A
Black or African American,F,Parks & Recreation,38,29.03,R,A
Black or African American,M,Parks & Recreation,68,30.09,R,A
Black or African American,M,Parks & Recreation,55,18.69,T,A
Black or African American,M,Seattle Public Utilities,43,49.75,R,A
Black or African American,M,Seattle City Light,50,49.75,R,A
Black or African American,M,Neighborhoods,43,61.71,R,A
Black or African American,M,Seattle City Light,61,47.62,R,A
Black or African American,M,Police Department,56,60.84,R,A
Black or African American,F,Police Department,39,28,R,A
Black or African American,F,Arts & Culture,76,82.191,R,A
Black or African American,M,Construction & Inspections,39,66.617,R,A
Black or African American,M,Parks & Recreation,59,30.09,R,A
Black or African American,F,Education & Early Learning,32,31.86,R,A
Black or African American,M,Parks & Recreation,43,18.69,T,A
Black or African American,M,Fire Department,26,34.81,R,A
Black or African American,M,Police Department,51,90.63,R,A
Black or African American,M,Fire Department,38,55.24,R,A
Black or African American,M,Parks & Recreation,46,18.69,T,A
Black or African American,M,Arts & Culture,27,39.28,R,A
Black or African American,M,Seattle City Light,59,49.75,R,A
Black or African American,M,Finance & Admin Services,43,55.585,R,A
Black or African American,F,Seattle City Light,58,44.95,R,A
Black or African American,F,Information Technology,60,51.35,R,A
Black or African American,F,Parks & Recreation,40,18.69,T,A
Black or African American,F,Education & Early Learning,43,42.57,R,A
Black or African American,M,Parks & Recreation,51,18.69,T,A
Black or African American,F,Parks & Recreation,37,21.83,R,A
Black or African American,M,Parks & Recreation,50,30.09,R,A
Black or African American,F,Parks & Recreation,40,18.69,T,A
Black or African American,M,Fire Department,45,44.82,R,A
Black or African American,F,Parks & Recreation,42,30.09,R,A
Black or African American,F,Seattle City Light,29,30.5,R,A
Black or African American,M,Seattle Dept of Transportation,33,34.08,R,A
Black or African American,F,Municipal Court,50,64.073,R,A
Black or African American,F,Human Services Department,45,35.05,R,A
Black or African American,M,Parks & Recreation,40,40.25,R,A
Black or African American,M,Human Services Department,38,39.28,R,A
Black or African American,M,Seattle Public Utilities,58,37.29,R,A
Black or African American,M,Seattle Dept of Transportation,48,38.31,R,P
Black or African American,F,Parks & Recreation,30,28,R,A
Black or African American,M,Seattle City Light,56,61.86,R,A
Black or African American,M,Fire Department,30,36.9,R,A
Black or African American,M,Seattle Dept of Transportation,37,55.73,R,A
Black or African American,F,Parks & Recreation,44,46.68,R,A
Black or African American,F,Police Department,61,36.47,R,A
Black or African American,F,Seattle City Light,53,35.74,R,A
Black or African American,M,Parks & Recreation,20,29.03,T,A
Black or African American,M,Seattle Dept of Transportation,42,23.4,T,A
Black or African American,M,Parks & Recreation,23,21.9,T,A
Black or African American,F,Seattle Public Library,25,24.67,R,A
Black or African American,F,Human Services Department,50,51.39,R,A
Black or African American,F,Seattle City Light,43,34.15,R,A
Black or African American,F,Human Services Department,57,37.84,R,A
Black or African American,M,Seattle Center,49,22.83,R,A
Black or African American,M,Parks & Recreation,23,18.69,T,A
Black or African American,M,Seattle Public Utilities,61,47.66,R,A
Black or African American,F,Finance & Admin Services,36,65.924,R,A
Black or African American,M,Seattle City Light,35,31.7,R,A
Black or African American,M,Seattle City Light,39,61.86,R,A
Black or African American,F,Human Services Department,57,50.43,R,A
Black or African American,F,Human Services Department,38,42.57,R,A
Black or African American,F,Seattle City Light,65,31.35,R,A
Black or African American,M,Municipal Court,62,66.245,R,A
Black or African American,F,Seattle Public Utilities,57,34.08,R,A
Black or African American,M,Seattle Center,43,25.58,T,A
Black or African American,M,Neighborhoods,41,46.68,R,A
Black or African American,M,Fire Department,58,74.82,R,A
Black or African American,M,Parks & Recreation,67,40.72,R,A
Black or African American,M,Seattle Public Library,53,28.7,R,A
Black or African American,F,Parks & Recreation,58,33.78,R,A
Black or African American,M,Seattle Public Utilities,57,49.41,R,A
Black or African American,F,Seattle Public Library,55,65.205,R,A
Black or African American,F,Seattle Public Library,57,27.14,R,A
Black or African American,M,Seattle Public Utilities,25,39.59,R,A
Black or African American,F,Parks & Recreation,41,18.69,T,A
Black or African American,M,Finance & Admin Services,59,73.902,R,A
Black or African American,F,Human Services Department,61,35.79,R,A
Black or African American,M,Seattle City Light,28,33.36,R,A
Black or African American,M,Seattle Dept of Transportation,30,34.08,R,A
Black or African American,M,Police Department,32,33.44,R,A
Black or African American,M,Seattle Dept of Transportation,54,57.87,R,A
Black or African American,F,Police Department,64,93.341,R,A
Black or African American,M,Seattle Dept of Transportation,45,29.03,R,A
Black or African American,F,Seattle City Light,41,30.87,R,A
Black or African American,F,Parks & Recreation,42,18.69,T,A
Black or African American,F,Commnty Sfty and Comm Ctr Dept,30,36.31,R,A
Black or African American,F,Human Services Department,36,49.49,R,A
Black or African American,F,Municipal Court,43,26.99,T,A
Black or African American,M,Fire Department,29,38.98,R,A
Black or African American,F,Seattle Public Utilities,52,38,R,A
Black or African American,M,Police Department,46,55.6,R,A
Black or African American,M,Parks & Recreation,23,18.69,T,A
Black or African American,M,Office of Economic Development,43,53.376,R,A
Black or African American,M,Seattle Public Utilities,46,47.23,R,A
Black or African American,M,Seattle Public Utilities,59,46.68,R,A
Black or African American,F,Education & Early Learning,39,51.39,R,A
Black or African American,F,Human Services Department,66,31.35,R,A
Black or African American,M,Parks & Recreation,24,19.51,T,A
Black or African American,M,Police Department,42,41.83,R,A
Black or African American,M,Parks & Recreation,60,18.69,R,A
Black or African American,M,Seattle Public Library,60,28.29,R,A
Black or African American,M,Police Department,60,59.8,R,A
Black or African American,F,Human Services Department,28,33.78,R,A
Black or African American,M,Human Services Department,27,33.16,R,A
Black or African American,F,Seattle City Light,46,34.47,R,A
Black or African American,F,Parks & Recreation,44,53.45,R,A
Black or African American,M,Parks & Recreation,64,29.03,T,A
Black or African American,M,Seattle Public Utilities,46,34.08,R,A
Black or African American,M,City Auditor,27,56.7,R,A
Black or African American,F,Parks & Recreation,24,18.69,T,A
Black or African American,M,Parks & Recreation,48,25.58,T,A
Black or African American,M,Seattle Public Utilities,49,39.59,R,A
Black or African American,M,Commnty Sfty and Comm Ctr Dept,30,32.47,R,A
Black or African American,M,Fire Department,28,31.35,R,A
Black or African American,M,Seattle City Light,53,33.36,R,A
Black or African American,F,Parks & Recreation,45,18.69,T,A
Black or African American,F,Police Department,54,58.75,R,A
Black or African American,M,Seattle City Light,59,77.88,R,A
Black or African American,M,Information Technology,45,62.253,R,A
Black or African American,F,Construction & Inspections,37,38.57,R,A
Black or African American,M,Police Department,62,43.34,R,A
Black or African American,M,Seattle Dept of Transportation,44,34.94,R,A
Black or African American,M,Seattle Dept of Transportation,49,77.05,R,A
Black or African American,M,Parks & Recreation,51,18.69,T,A
Black or African American,M,Seattle Center,71,21.96,T,A
Black or African American,M,Parks & Recreation,38,27.19,R,L
Black or African American,M,Education & Early Learning,40,51.39,R,A
Black or African American,M,Seattle Public Utilities,34,28.18,R,A
Black or African American,F,Office for Civil Rights,64,48.48,R,A
Black or African American,F,Finance & Admin Services,60,46.68,R,A
Black or African American,M,Parks & Recreation,52,27.19,R,A
Black or African American,F,Municipal Court,62,33.65,R,A
Black or African American,F,Seattle Public Library,18,19.87,R,A
Black or African American,F,Neighborhoods,59,49.359,R,A
Black or African American,M,Parks & Recreation,37,31.63,R,A
Black or African American,F,Legislative Department,27,44.5403,R,A
Black or African American,M,Seattle City Light,59,77.88,R,A
Black or African American,F,Municipal Court,34,31.35,R,A
Black or African American,M,Parks & Recreation,18,19.51,T,A
Black or African American,M,Seattle Public Utilities,46,28,R,A
Black or African American,M,Seattle City Light,57,37.29,R,A
Black or African American,M,Information Technology,44,64.85,R,A
Black or African American,M,Parks & Recreation,41,18.69,T,A
Black or African American,M,Human Services Department,50,39.28,R,A
Black or African American,F,Parks & Recreation,26,18.69,T,A
Black or African American,F,Seattle City Light,56,34.6,R,A
Black or African American,F,Seattle Public Library,27,28.5,R,A
Black or African American,M,Fire Department,50,75.75,R,A
Black or African American,F,Seattle City Light,37,31.7,R,A
Black or African American,M,Office of Economic Development,40,48.31,R,A
Black or African American,F,Human Services Department,41,39.28,R,A
Black or African American,M,Seattle Public Library,44,31.68,R,A
Black or African American,F,Seattle Public Utilities,29,33.79,R,A
Black or African American,M,Information Technology,52,66.404,R,A
Black or African American,F,Parks & Recreation,57,70.95,R,A
Black or African American,M,Finance & Admin Services,43,31.7,R,A
Black or African American,F,Police Department,54,55.44,R,A
Black or African American,M,Seattle City Light,54,46.43,R,A
Black or African American,M,Finance & Admin Services,66,24.92,R,A
Black or African American,M,Seattle Public Utilities,58,41.61,R,A
Black or African American,M,Parks & Recreation,57,33.33,R,A
Black or African American,M,Seattle Dept of Transportation,55,30.09,R,A
Black or African American,M,Human Services Department,52,79,R,A
Black or African American,M,Municipal Court,61,47.11,R,A
Black or African American,M,Parks & Recreation,28,35.74,R,A
Black or African American,M,Fire Department,40,41.07,R,A
Black or African American,F,Seattle City Light,64,34.47,R,A
Black or African American,F,Parks & Recreation,41,20.97,R,A
Black or African American,M,Parks & Recreation,66,25.58,T,A
Black or African American,F,Human Services Department,29,29.03,T,A
Black or African American,M,Seattle Public Utilities,58,38.57,R,A
Black or African American,F,Education & Early Learning,40,33.16,R,A
Black or African American,F,Seattle Public Library,48,49.35,R,A
Black or African American,F,Mayor's Office,53,34.478,R,A
Black or African American,F,Police Department,53,41.48,R,A
Black or African American,M,Construction & Inspections,65,78.122,R,A
Black or African American,M,Seattle City Light,49,105.2603,R,A
Black or African American,M,Parks & Recreation,45,41.83,R,A
Black or African American,F,Seattle Public Utilities,60,43.63,R,A
Black or African American,M,Seattle Public Utilities,56,55.44,R,A
Black or African American,M,Parks & Recreation,54,29.03,T,A
Black or African American,M,Parks & Recreation,54,35.46,R,A
Black or African American,M,Seattle Public Utilities,61,38.81,R,A
Black or African American,M,Fire Department,38,46.06,R,A
Black or African American,M,Seattle Public Utilities,56,34.08,R,A
Black or African American,M,Parks & Recreation,47,18.69,T,A
Black or African American,M,Seattle Public Utilities,48,39.59,R,A
Black or African American,M,Finance & Admin Services,40,44.79,R,A
Black or African American,M,Seattle Dept of Transportation,41,47.34,R,A
Black or African American,F,Information Technology,41,63,R,A
Black or African American,M,Police Department,34,54.29,R,A
Black or African American,M,Fire Department,57,135.21,R,A
Black or African American,F,Parks & Recreation,27,18.69,T,A
Black or African American,M,Parks & Recreation,17,21.05,T,A
Black or African American,F,Neighborhoods,58,49.359,R,A
Black or African American,F,Municipal Court,27,30.48,R,A
Black or African American,F,Parks & Recreation,40,30.09,R,A
Black or African American,F,Seattle Public Utilities,28,28,R,A
Black or African American,M,Police Department,30,53.5,R,A
Black or African American,M,Parks & Recreation,38,38.57,R,A
Black or African American,M,Seattle Public Utilities,45,94.178,R,A
Black or African American,M,Seattle Dept of Human Resource,46,55,T,A
Black or African American,M,Police Department,51,62.41,R,A
Black or African American,F,Construction & Inspections,70,44.95,R,A
Black or African American,M,Parks & Recreation,69,34.08,T,A
Black or African American,F,Human Services Department,36,33.78,R,A
Black or African American,M,Seattle Dept of Transportation,43,35.4,R,A
Black or African American,M,Parks & Recreation,22,25.58,T,A
Black or African American,M,Seattle City Light,66,69.6,R,A
Black or African American,F,Municipal Court,34,33.65,R,A
Black or African American,M,Seattle Public Library,54,25.81,R,A
Black or African American,M,Municipal Court,33,38.83,R,A
Black or African American,F,Office for Civil Rights,38,56.5,R,A
Black or African American,M,Seattle City Light,73,34.35,R,A
Black or African American,M,Seattle Public Utilities,49,51.923,R,A
Black or African American,M,Parks & Recreation,66,44.95,R,A
Black or African American,F,Parks & Recreation,64,18.69,T,A
Black or African American,F,Seattle City Light,45,35.79,R,A
Black or African American,F,Construction & Inspections,61,46.68,R,A
Black or African American,F,Seattle Public Library,37,28.5,R,A
Black or African American,F,Seattle Center,71,25.58,T,A
Black or African American,M,Parks & Recreation,43,40.25,R,A
Black or African American,M,Seattle Public Utilities,67,38.76,R,A
Black or African American,M,Parks & Recreation,33,18.69,T,A
Black or African American,F,Office of Inspector General,26,35.05,R,A
Black or African American,F,Police Department,29,34.05,R,A
Black or African American,M,Parks & Recreation,25,20.28,R,A
Black or African American,F,Parks & Recreation,56,18.69,T,A
Black or African American,M,Parks & Recreation,57,34.08,R,A
Black or African American,M,Seattle Public Utilities,52,64.31,R,A
Black or African American,M,Seattle City Light,67,43.77,R,A
Black or African American,M,Police Department,38,58.09,R,A
Black or African American,M,Construction & Inspections,69,52.18,R,A
Black or African American,M,Seattle City Light,49,61.86,R,A
Black or African American,M,Seattle Public Library,52,38.78,R,A
Black or African American,F,Law Department,55,76.201,R,A
Black or African American,F,Community Police Commission,43,96.46,R,A
Black or African American,F,Seattle Public Utilities,39,29.29,R,A
Black or African American,F,Seattle Dept of Transportation,53,54.4,R,A
Black or African American,M,Office for Civil Rights,39,48.162,R,A
Black or African American,M,Seattle City Light,41,54.4,R,A
Black or African American,M,Seattle Public Library,28,28.5,R,A
Black or African American,M,Parks & Recreation,61,18.69,T,A
Black or African American,M,Police Department,54,59.27,R,A
Black or African American,F,Parks & Recreation,55,30.09,R,A
Black or African American,M,Parks & Recreation,55,30.09,R,A
Black or African American,F,Parks & Recreation,54,46.68,R,A
Black or African American,F,Seattle Dept of Transportation,39,42.92,R,A
Black or African American,F,Seattle Public Utilities,60,50.43,R,A
Black or African American,M,Parks & Recreation,56,32.85,R,A
Black or African American,F,Seattle Public Library,36,46.07,R,L
Black or African American,M,Seattle Public Utilities,57,43.27,R,A
Black or African American,M,Parks & Recreation,44,55,R,A
Black or African American,M,Commnty Sfty and Comm Ctr Dept,37,49.35,R,A
Black or African American,F,Parks & Recreation,41,33.33,R,L
Black or African American,M,Seattle City Light,35,69.6,R,A
Black or African American,F,Seattle Public Utilities,42,25.58,T,A
Black or African American,F,Seattle Dept of Transportation,55,49.24,R,A
Black or African American,M,Commnty Sfty and Comm Ctr Dept,32,33.61,R,A
Black or African American,F,Law Department,47,54.917,R,A
Black or African American,M,Fire Department,63,67.78,R,A
Black or African American,M,Fire Department,34,38.98,R,A
Black or African American,M,Parks & Recreation,48,18.69,T,A
Black or African American,F,Human Services Department,52,48.31,R,A
Black or African American,F,Office of Housing,38,43.34,R,A
Black or African American,M,Seattle Center,46,35.26,R,A
Black or African American,M,Seattle Dept of Transportation,64,54.4,R,A
Black or African American,M,Seattle Dept of Transportation,58,38.31,R,A
Black or African American,M,Parks & Recreation,50,41.18,R,A
Black or African American,F,Seattle Public Utilities,64,46.68,R,A
Black or African American,M,Fire Department,56,55.03,R,A
Black or African American,M,Information Technology,75,63.075,R,A
Black or African American,F,Office of Economic Development,30,67.656,R,A
Black or African American,M,Seattle Public Utilities,55,30.09,R,A
Black or African American,F,Seattle Public Utilities,46,40.86,R,A
Black or African American,M,Parks & Recreation,19,25.58,T,A
Black or African American,M,Police Department,44,58.75,R,A
Black or African American,M,Legislative Department,59,37.84,R,A
Black or African American,M,Seattle Public Utilities,47,42.28,R,A
Black or African American,M,Seattle Dept of Transportation,47,63.32,R,A
Black or African American,M,Seattle City Light,38,74.5,R,A
Black or African American,M,Parks & Recreation,48,43.34,R,A
Black or African American,F,Seattle Dept of Transportation,34,35.46,R,A
Black or African American,M,Office for Civil Rights,59,49.581,R,A
Black or African American,F,Human Services Department,35,80,R,A
Black or African American,M,Police Department,54,34.05,R,A
Black or African American,M,Parks & Recreation,49,46.38,R,A
Black or African American,F,Legislative Department,61,79.0639,R,A
Black or African American,M,Seattle Dept of Transportation,45,42.92,R,A
Black or African American,M,Seattle Center,45,23.14,T,A
Black or African American,M,Fire Department,48,55.66,R,A
Black or African American,M,Seattle Public Utilities,42,43.27,R,A
Black or African American,M,Police Department,61,34.05,R,A
Black or African American,M,Seattle City Light,35,58.695,R,A
Black or African American,M,Seattle Public Utilities,28,18.69,R,A
Black or African American,M,Parks & Recreation,31,23.65,R,A
Black or African American,M,Police Department,53,61.63,R,A
Black or African American,F,Seattle Public Utilities,43,38.57,R,A
Black or African American,M,Parks & Recreation,54,18.69,T,A
Black or African American,M,Police Department,52,34.05,R,A
Black or African American,M,Construction & Inspections,65,52.18,R,A
Black or African American,M,Seattle City Light,42,71.79,R,A
Black or African American,F,Seattle Dept of Transportation,41,41.66,R,A
Black or African American,F,Seattle Dept of Human Resource,55,61.3,R,A
Black or African American,F,Police Department,31,35.58,T,A
Black or African American,M,Parks & Recreation,23,18.69,T,A
Black or African American,F,Seattle Public Utilities,64,46.68,R,A
Black or African American,F,Parks & Recreation,26,18.69,T,A
Black or African American,F,Parks & Recreation,22,18.69,T,A
Black or African American,M,Finance & Admin Services,65,41.38,R,A
Black or African American,M,Seattle Public Utilities,64,39.73,R,A
Black or African American,F,Seattle Dept of Transportation,29,44.95,R,A
Black or African American,M,Seattle Dept of Transportation,30,55.73,R,A
Black or African American,M,Fire Department,30,38.98,R,A
Black or African American,F,Human Services Department,38,39.28,R,A
Black or African American,F,Information Technology,62,49.49,R,A
Black or African American,F,Human Services Department,45,41.66,R,A
Black or African American,F,Parks & Recreation,33,18.69,T,A
Black or African American,F,Parks & Recreation,44,18.69,T,A
Black or African American,M,Seattle City Light,44,47.62,R,A
Black or African American,F,Legislative Department,23,39.4636,R,A
Black or African American,F,Community Police Commission,50,43.34,R,A
Black or African American,F,Parks & Recreation,48,19.64,T,A
Black or African American,F,Parks & Recreation,26,19.64,R,A
Black or African American,M,Seattle Public Utilities,61,47.51,R,A
Black or African American,M,Seattle City Light,48,61.86,R,A
Black or African American,M,Parks & Recreation,20,19.51,T,A
Black or African American,M,Seattle Public Library,44,28.29,R,A
Black or African American,M,Seattle Dept of Transportation,55,87.7,R,A
Black or African American,F,Seattle Dept of Transportation,48,36.47,R,A
Black or African American,M,Parks & Recreation,32,31.2,R,A
Black or African American,F,Seattle Center,32,24.92,R,A
Black or African American,F,Seattle Dept of Transportation,59,54.12,R,A
Black or African American,F,Police Department,36,30.09,R,A
Black or African American,F,Seattle Public Utilities,35,37.09,R,A
Black or African American,F,Seattle Public Library,58,27.14,R,A
Black or African American,M,Parks & Recreation,27,19.64,T,A
Black or African American,M,Police Department,54,53.5,R,A
Black or African American,M,Police Department,34,50.03,R,A
Black or African American,F,Office of Housing,36,65.83,R,A
Black or African American,F,Finance & Admin Services,33,46.68,R,L
Black or African American,M,Parks & Recreation,62,31.35,R,A
Black or African American,M,Construction & Inspections,28,42.28,R,A
Black or African American,F,Parks & Recreation,55,41.83,R,A
Black or African American,M,Parks & Recreation,51,30.09,R,A
Black or African American,M,Seattle Dept of Transportation,46,30.09,T,A
Black or African American,F,Office of Economic Development,57,41.66,T,A
Black or African American,F,Education & Early Learning,38,34.47,R,A
Black or African American,M,Seattle Center,48,21.96,T,A
Black or African American,M,Fire Department,39,76.83,R,A
Black or African American,M,Parks & Recreation,43,50.43,R,A
Black or African American,F,Municipal Court,61,34.3,R,A
Black or African American,M,Parks & Recreation,44,30.09,R,A
Black or African American,M,Human Services Department,41,39.28,R,A
Black or African American,F,Seattle Dept of Transportation,32,34.6,R,A
Black or African American,F,Seattle Public Utilities,42,38.29,R,A
Black or African American,M,Seattle City Light,61,61.86,R,A
Black or African American,F,Parks & Recreation,43,64.988,R,A
Black or African American,M,Fire Department,51,54.2,R,A
Black or African American,F,Employees' Retirement System,61,47.34,R,A
Black or African American,M,Seattle Public Utilities,44,38.06,R,A
Black or African American,M,Seattle Public Utilities,52,54.28,R,A
Black or African American,M,Seattle Public Utilities,31,43.27,R,A
Black or African American,F,Parks & Recreation,24,18.69,T,A
Black or African American,M,Seattle Public Utilities,43,37.32,R,A
Black or African American,M,Seattle City Light,30,28.66,R,A
Black or African American,F,Construction & Inspections,48,36.47,R,A
Black or African American,F,Parks & Recreation,21,18.69,T,A
Black or African American,M,Police Department,52,62.41,R,A
Black or African American,M,Seattle Center,39,25.58,T,A
Black or African American,M,Finance & Admin Services,43,73.041,R,A
Black or African American,F,Seattle Public Library,42,38.42,R,A
Black or African American,F,Parks & Recreation,35,30.48,T,A
Black or African American,M,Seattle City Light,51,69.6,R,A
Black or African American,M,Seattle City Light,60,77.88,R,A
Black or African American,M,Construction & Inspections,50,52.41,R,A
Black or African American,M,Fire Department,49,73.54,R,A
Black or African American,F,Seattle Public Utilities,33,27.6,R,A
Black or African American,M,Parks & Recreation,28,25.58,T,A
Black or African American,M,Seattle Dept of Transportation,43,38.83,R,A
Black or African American,M,Parks & Recreation,40,32.85,R,A
Black or African American,F,Human Services Department,34,39.28,R,A
Black or African American,M,Seattle Public Utilities,53,27.19,R,A
Black or African American,F,Fire Department,48,26.05,R,A
Black or African American,F,Community Police Commission,58,53.51,R,A
Black or African American,F,Mayor's Office,45,101.5326,R,A
Black or African American,M,Seattle City Light,64,61.86,R,A
Black or African American,M,Seattle Center,62,48.25,R,A
Black or African American,F,Parks & Recreation,49,23.62,T,A
Black or African American,M,Police Department,31,47.69,R,A
Black or African American,M,Parks & Recreation,41,46.68,R,L
Black or African American,M,Parks & Recreation,66,30.09,R,A
Black or African American,F,Seattle Public Utilities,47,53.45,R,A
Black or African American,M,Parks & Recreation,52,30.09,R,A
Black or African American,F,Information Technology,33,77.84,R,A
Black or African American,F,Human Services Department,39,37.84,R,A
Black or African American,F,Law Department,51,75.848,R,A
Black or African American,M,Police Department,28,45.96,R,A
Black or African American,F,Police Department,53,40.86,R,A
Black or African American,F,Seattle Center,40,21.96,T,A
Black or African American,F,Seattle Public Utilities,65,37.84,R,A
Black or African American,M,Seattle City Light,51,46.68,R,A
Black or African American,F,Seattle Public Utilities,55,55.44,R,A
Black or African American,F,Seattle Public Utilities,46,31.35,R,A
Black or African American,F,Law Department,43,75.936,R,A
Black or African American,F,Construction & Inspections,54,45.68,R,A
Black or African American,M,Police Department,58,59.8,R,A
Black or African American,M,Seattle Dept of Transportation,39,30.09,T,A
Black or African American,M,Seattle Public Library,58,28.29,R,A
Black or African American,M,Seattle City Light,55,24.92,R,A
Black or African American,F,Police Department,28,54.29,R,A
Black or African American,F,Parks & Recreation,48,18.69,T,A
Black or African American,M,Police Department,38,66.09,R,A
Black or African American,M,Police Department,58,57.44,R,A
Black or African American,F,Seattle Public Utilities,53,29.29,R,A
Black or African American,F,Seattle Public Utilities,45,60.78,R,A
Black or African American,F,Fire Department,53,34.47,R,A
Black or African American,M,Parks & Recreation,71,23.62,T,A
Black or African American,M,Information Technology,50,66.404,R,A
Black or African American,M,Parks & Recreation,57,33.33,R,A
Black or African American,M,Parks & Recreation,61,35.46,R,A
Black or African American,M,Seattle Public Library,52,35.65,R,A
Black or African American,M,Seattle Public Utilities,42,37.29,R,A
Black or African American,F,Education & Early Learning,48,66.959,R,A
Black or African American,F,Human Services Department,52,35.05,R,A
Black or African American,M,Seattle Public Library,63,28.29,R,A
Black or African American,M,Police Department,30,47.69,R,A
Black or African American,M,Parks & Recreation,38,41.83,R,A
Black or African American,M,Parks & Recreation,23,20.75,T,A
Black or African American,F,Construction & Inspections,64,38.57,R,A
Black or African American,M,Police Department,56,34.05,R,A
Black or African American,F,Information Technology,55,74.93,R,A
Black or African American,F,Seattle City Light,52,28,R,A
Black or African American,F,Seattle Center,66,36.47,R,A
Black or African American,F,Parks & Recreation,52,18.69,T,A
Black or African American,F,Parks & Recreation,21,25.58,T,A
Black or African American,F,Construction & Inspections,29,32.41,R,A
Black or African American,M,Parks & Recreation,29,18.69,T,A
Black or African American,M,Parks & Recreation,25,25.58,T,A
Black or African American,M,Parks & Recreation,34,20.75,T,A
Black or African American,F,Parks & Recreation,48,54.34,R,A
Black or African American,F,Mayor's Office,37,57.472,R,A
Black or African American,M,Parks & Recreation,33,18.69,T,A
Black or African American,M,Parks & Recreation,56,30.09,R,A
Black or African American,M,Parks & Recreation,22,18.69,T,A
Black or African American,F,Seattle Center,54,25.55,R,A
Black or African American,F,Seattle City Light,58,70.9795,R,A
Black or African American,M,Parks & Recreation,53,31.63,T,A
Black or African American,M,Seattle Dept of Transportation,67,56.52,R,A
Black or African American,M,Seattle Public Library,65,28.5,R,A
Black or African American,F,Ethics & Elections Commission,26,41.66,R,A
Black or African American,M,Seattle Dept of Transportation,63,90.62,R,A
Black or African American,M,Police Department,50,124.184,R,A
Black or African American,M,Parks & Recreation,56,30.09,R,A
Black or African American,M,Police Department,61,60.84,R,A
Black or African American,M,Fire Department,41,43.98,R,A
Black or African American,M,Parks & Recreation,42,22.86,R,A
Black or African American,F,Human Services Department,53,30.09,R,A
Black or African American,M,Fire Department,35,34.81,R,A
Black or African American,M,Finance & Admin Services,46,42.57,R,A
Black or African American,F,Police Department,47,49.764,R,A
Black or African American,F,Parks & Recreation,20,19.51,T,A
Black or African American,F,Seattle Center,47,62.95,R,A
Black or African American,M,Parks & Recreation,64,52.75,R,A
Black or African American,M,Parks & Recreation,58,18.69,T,A
Black or African American,M,Seattle Public Utilities,26,33.75,R,A
Black or African American,F,Seattle Center,63,18.69,T,A
Black or African American,F,Arts & Culture,36,37.84,T,A
Black or African American,F,Seattle City Light,53,42.92,R,A
Black or African American,F,Police Department,52,59.8,R,A
Black or African American,M,Seattle Public Library,51,48.53,R,A
Black or African American,M,Police Department,38,34.05,R,A
Black or African American,F,Seattle Public Utilities,62,38,R,A
Black or African American,M,Police Department,34,54.29,R,L
Black or African American,M,Seattle Dept of Transportation,63,51.32,R,A
Black or African American,F,Municipal Court,31,29.39,T,A
Black or African American,M,Parks & Recreation,41,18.69,T,A
Black or African American,F,Seattle Public Library,50,24.51,R,A
Black or African American,M,Parks & Recreation,39,18.69,T,A
Black or African American,M,Seattle Dept of Transportation,58,30.09,R,A
Black or African American,F,Human Services Department,69,30.09,R,A
Black or African American,F,Law Department,25,38.79,T,A
Black or African American,M,Parks & Recreation,36,30.09,R,A
Black or African American,M,Seattle City Light,68,61.86,R,A
Black or African American,F,Human Services Department,51,42.57,R,A
Black or African American,F,Construction & Inspections,44,32.52,R,A
Black or African American,M,Seattle City Light,56,60.23,R,A
Black or African American,M,Employees' Retirement System,53,33.79,R,A
Black or African American,F,Seattle City Light,20,19.09,T,A
Black or African American,F,Construction & Inspections,67,29.03,T,A
Black or African American,M,Parks & Recreation,61,54.34,R,A
Black or African American,F,Seattle Dept of Transportation,30,28,T,A
